cue_index,onset_sample,onset_time_sec,label_start_sample,label_end_sample,label_start_time_sec,label_end_time_sec,label,label_name,peak_value
0,1428,7.14,1428,3675,7.14,18.375,1,Eyes Closed,0.6182477361085785
1,3675,18.375,3675,5251,18.375,26.255,0,Eyes Open,0.6212178022428362
2,5251,26.255,5251,6179,26.255,30.895,1,Eyes Closed,0.6190844068064334
3,6179,30.895,6179,8011,30.895,40.055,0,Eyes Open,0.6113055593695065
4,8011,40.055,8011,9635,40.055,48.175,1,Eyes Closed,0.6138587134246986
5,9635,48.175,9635,11287,48.175,56.435,0,Eyes Open,0.6176675637644692
6,11287,56.435,11287,13619,56.435,68.095,1,Eyes Closed,0.6202893356110663
7,13619,68.095,13619,14479,68.095,72.395,0,Eyes Open,0.621688923481015
8,14479,72.395,14479,15651,72.395,78.255,1,Eyes Closed,0.6211887023128101
9,15651,78.255,15651,17571,78.255,87.855,0,Eyes Open,0.6126484795554075
10,17571,87.855,17571,19067,87.855,95.335,1,Eyes Closed,0.6154310275456383
11,19067,95.335,19067,20507,95.335,102.535,0,Eyes Open,0.6149135994648159
12,20507,102.535,20507,21511,102.535,107.555,1,Eyes Closed,0.6219533783435724
13,21511,107.555,21511,22499,107.555,112.495,0,Eyes Open,0.6246304909844744
14,22499,112.495,22499,23939,112.495,119.695,1,Eyes Closed,0.6225922070573007
15,23939,119.695,23939,24727,119.695,123.635,0,Eyes Open,0.6191868298495089
16,24727,123.635,24727,26747,123.635,133.735,1,Eyes Closed,0.6189670108736645
17,26747,133.735,26747,28747,133.735,143.735,0,Eyes Open,0.6209196770447052
18,28747,143.735,28747,31498,143.735,157.49,1,Eyes Closed,0.6191248575844265
19,31498,157.49,31498,33742,157.49,168.71,0,Eyes Open,0.619196801991438
20,33742,168.71,33742,35671,168.71,178.355,1,Eyes Closed,0.6176933467010847
21,35671,178.355,35671,36718,178.355,183.59,0,Eyes Open,0.626589556773365
22,36718,183.59,36718,38650,183.59,193.25,1,Eyes Closed,0.6197605308891744
23,38650,193.25,38650,40610,193.25,203.05,0,Eyes Open,0.6338363447612017
24,40610,203.05,40610,43504,203.05,217.52,1,Eyes Closed,0.620833036296782
25,43504,217.52,43504,45531,217.52,227.655,0,Eyes Open,0.6150453822179808
26,45531,227.655,45531,46647,227.655,233.235,1,Eyes Closed,0.606594623238818
27,46647,233.235,46647,47915,233.235,239.575,0,Eyes Open,0.6193459287743981
28,47915,239.575,47915,49291,239.575,246.455,1,Eyes Closed,0.6217562722682359
29,49291,246.455,49291,50907,246.455,254.535,0,Eyes Open,0.6222943362205475
30,50907,254.535,50907,52807,254.535,264.035,1,Eyes Closed,0.6184700996274718
31,52807,264.035,52807,55787,264.035,278.935,0,Eyes Open,0.6227453213573005
32,55787,278.935,55787,58351,278.935,291.755,1,Eyes Closed,0.6193634769328212
33,58351,291.755,58351,59727,291.755,298.635,0,Eyes Open,0.6181422195070729
34,59727,298.635,59727,60000,298.635,300.0,1,Eyes Closed,0.6233262957200728
