cue_index,audio_onset_sample,audio_onset_time_sec,eog_activity_start_sample,eog_activity_start_time_sec,eog_activity_end_sample,eog_activity_end_time_sec,neurokit_peak_sample,neurokit_peak_time_sec,neurokit_peak_value,neurokit_peak_abs_value,neurokit_event_polarity,merged_neurokit_events,eog_detection_source,eog_detection_signal_mode,eog_derivative_lowpass_hz,label_transition_sample,label_transition_time_sec,audio_to_eog_offset_sec,eog_activity_peak_value,used_audio_fallback,eog_label_event_sample,eog_label_event_time_sec,label_start_sample,label_end_sample,label_start_time_sec,label_end_time_sec,label,label_name,eog_activity_peak_value_label
0,3270,16.35,3342,16.71,3401,17.005,3361,16.805,0.13149713795658818,0.13149713795658818,-1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,3401,17.005,0.655,0.13149713795658818,False,3401,17.005,3401,6293,17.005,31.465,1,Eyes Closed,0.13149713795658818
1,6177,30.885,6240,31.2,6293,31.465,6259,31.295,0.1387984365590243,0.1387984365590243,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,6293,31.465,0.58,0.1387984365590243,False,6293,31.465,6293,7448,31.465,37.24,0,Eyes Open,0.1387984365590243
2,7357,36.785,7390,36.95,7448,37.24,7408,37.04,0.11808871540606389,0.11808871540606389,-1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,7448,37.24,0.455,0.11808871540606389,False,7448,37.24,7448,8693,37.24,43.465,1,Eyes Closed,0.11808871540606389
3,8588,42.94,8645,43.225,8693,43.465,8663,43.315,0.15147969419334614,0.15147969419334614,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,8693,43.465,0.525,0.15147969419334614,False,8693,43.465,8693,10269,43.465,51.345,0,Eyes Open,0.15147969419334614
4,10180,50.9,10211,51.055,10269,51.345,10229,51.145,0.12382846719589005,0.12382846719589005,-1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,10269,51.345,0.445,0.12382846719589005,False,10269,51.345,10269,11915,51.345,59.575,1,Eyes Closed,0.12382846719589005
5,11832,59.16,11866,59.33,11915,59.575,11882,59.41,0.13039165096484148,0.13039165096484148,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,11915,59.575,0.415,0.13039165096484148,False,11915,59.575,11915,13178,59.575,65.89,0,Eyes Open,0.13039165096484148
6,13069,65.345,13100,65.5,13178,65.89,13117,65.585,0.10120841929248023,0.10120841929248023,-1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,13178,65.89,0.545,0.10120841929248023,False,13178,65.89,13178,14331,65.89,71.655,1,Eyes Closed,0.10120841929248023
7,14232,71.16,14279,71.395,14331,71.655,14295,71.475,0.12728981427174535,0.12728981427174535,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,14331,71.655,0.495,0.12728981427174535,False,14331,71.655,14331,15341,71.655,76.705,0,Eyes Open,0.12728981427174535
8,15264,76.32,15286,76.43,15341,76.705,15303,76.515,0.13178492013970988,0.13178492013970988,-1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,15341,76.705,0.385,0.13178492013970988,False,15341,76.705,15341,16321,76.705,81.605,1,Eyes Closed,0.13178492013970988
9,16256,81.28,16283,81.415,16321,81.605,16299,81.495,0.13211438003551484,0.13211438003551484,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,16321,81.605,0.325,0.13211438003551484,False,16321,81.605,16321,17823,81.605,89.115,0,Eyes Open,0.13211438003551484
10,17728,88.64,17749,88.745,17823,89.115,17766,88.83,0.10075700580930336,0.10075700580930336,-1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,17823,89.115,0.475,0.10075700580930336,False,17823,89.115,17823,19200,89.115,96.0,1,Eyes Closed,0.10075700580930336
11,19132,95.66,19154,95.77,19200,96.0,19172,95.86,0.1267422376202412,0.1267422376202412,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,19200,96.0,0.34,0.1267422376202412,False,19200,96.0,19200,20798,96.0,103.99,0,Eyes Open,0.1267422376202412
12,20716,103.58,20738,103.69,20798,103.99,20755,103.775,0.131012036885805,0.131012036885805,-1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,20798,103.99,0.41,0.131012036885805,False,20798,103.99,20798,22408,103.99,112.04,1,Eyes Closed,0.131012036885805
13,22328,111.64,22353,111.765,22408,112.04,22371,111.855,0.11711540049868951,0.11711540049868951,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,22408,112.04,0.4,0.11711540049868951,False,22408,112.04,22408,24246,112.04,121.23,0,Eyes Open,0.11711540049868951
14,24144,120.72,24144,120.72,24246,121.23,24188,120.94,0.11099351749500284,0.11099351749500284,-1,3,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,24246,121.23,0.51,0.11099351749500284,False,24246,121.23,24246,26230,121.23,131.15,1,Eyes Closed,0.11099351749500284
15,26152,130.76,26181,130.905,26230,131.15,26198,130.99,0.13646531508799162,0.13646531508799162,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,26230,131.15,0.39,0.13646531508799162,False,26230,131.15,26230,27040,131.15,135.2,0,Eyes Open,0.13646531508799162
16,26936,134.68,26970,134.85,27040,135.2,26990,134.95,0.08265430172129062,0.08265430172129062,-1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,27040,135.2,0.52,0.08265430172129062,False,27040,135.2,27040,27821,135.2,139.105,1,Eyes Closed,0.08265430172129062
17,27740,138.7,27774,138.87,27821,139.105,27790,138.95,0.10341188846257772,0.10341188846257772,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,27821,139.105,0.405,0.10341188846257772,False,27821,139.105,27821,28647,139.105,143.235,0,Eyes Open,0.10341188846257772
18,28552,142.76,28581,142.905,28647,143.235,28600,143.0,0.10050524312722138,0.10050524312722138,-1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,28647,143.235,0.475,0.10050524312722138,False,28647,143.235,28647,29497,143.235,147.485,1,Eyes Closed,0.10050524312722138
19,29424,147.12,29447,147.235,29497,147.485,29466,147.33,0.09637348623349741,0.09637348623349741,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,29497,147.485,0.365,0.09637348623349741,False,29497,147.485,29497,30267,147.485,151.335,0,Eyes Open,0.09637348623349741
20,30180,150.9,30209,151.045,30267,151.335,30226,151.13,0.10130622173916541,0.10130622173916541,-1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,30267,151.335,0.435,0.10130622173916541,False,30267,151.335,30267,32226,151.335,161.13,1,Eyes Closed,0.10130622173916541
21,32156,160.78,32183,160.915,32226,161.13,32200,161.0,0.12541852368328166,0.12541852368328166,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,32226,161.13,0.35,0.12541852368328166,False,32226,161.13,32226,34295,161.13,171.475,0,Eyes Open,0.12541852368328166
22,34204,171.02,34238,171.19,34295,171.475,34255,171.275,0.10653597017905143,0.10653597017905143,-1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,34295,171.475,0.455,0.10653597017905143,False,34295,171.475,34295,35313,171.475,176.565,1,Eyes Closed,0.10653597017905143
23,35232,176.16,35264,176.32,35313,176.565,35281,176.405,0.12431758594096615,0.12431758594096615,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,35313,176.565,0.405,0.12431758594096615,False,35313,176.565,35313,36305,176.565,181.525,0,Eyes Open,0.12431758594096615
24,36204,181.02,36230,181.15,36305,181.525,36249,181.245,0.09991857366353704,0.09991857366353704,-1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,36305,181.525,0.505,0.09991857366353704,False,36305,181.525,36305,37737,181.525,188.685,1,Eyes Closed,0.09991857366353704
