variant,feature_mode,label_mode,window_sec,stride_sec,checkpoint_path,variant_dir,validation_aligned_prediction_csv,test_aligned_prediction_csv,val_accuracy,val_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_n_windows,test_mean_cue_to_first_correct_sec,test_median_cue_to_first_correct_sec,test_mean_cue_to_predicted_transition_sec,test_median_cue_to_predicted_transition_sec,test_mean_cue_to_sustained_prediction_sec,test_median_cue_to_sustained_prediction_sec,test_xcov_delay_sec,test_xcov_peak_coeff,test_xcov_signal_column
filtered_signal__win_1p0s__stride_0p02s__labels_endpoint,filtered_signal,endpoint,1.0,0.02,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p02s__labels_endpoint\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p02s__labels_endpoint,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p02s__labels_endpoint\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p02s__labels_endpoint\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.8596749381312286,0.859604508336905,14951.0,0.34737500000000043,0.25250000000000483,0.638076923076924,0.33500000000000796,0.3813750000000006,0.3100000000000023,0.27,0.7755131909440268,prob_Eyes Closed
filtered_signal__win_1p0s__stride_0p03s__labels_endpoint,filtered_signal,endpoint,1.0,0.03,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p03s__labels_endpoint\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p03s__labels_endpoint,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p03s__labels_endpoint\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p03s__labels_endpoint\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.5270392294572088,0.5344798490397761,9967.0,0.666538461538464,0.025000000000005684,1.0287500000000016,1.0700000000000074,0.9289705882352963,0.025000000000005684,0.25,0.5383240925764083,prob_Eyes Closed
filtered_signal__win_1p0s__stride_0p05s__labels_endpoint,filtered_signal,endpoint,1.0,0.05,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p05s__labels_endpoint\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p05s__labels_endpoint,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p05s__labels_endpoint\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p05s__labels_endpoint\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.8491890988129075,0.8496579808567702,5981.0,0.3826250000000023,0.2775000000000034,0.7188750000000019,0.3774999999999977,0.43387500000000256,0.3774999999999977,0.365,0.7644456437068017,prob_Eyes Closed
filtered_signal__win_1p0s__stride_0p1s__labels_endpoint,filtered_signal,endpoint,1.0,0.1,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p1s__labels_endpoint\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p1s__labels_endpoint,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p1s__labels_endpoint\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p1s__labels_endpoint\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.7806753594115681,0.7829285037031737,2991.0,0.6388749999999992,0.5349999999999966,0.7035526315789467,0.5849999999999937,0.7113749999999995,0.5849999999999937,0.535,0.7047848250456767,prob_Eyes Closed
filtered_signal__win_1p0s__stride_0p2s__labels_endpoint,filtered_signal,endpoint,1.0,0.2,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p2s__labels_endpoint\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p2s__labels_endpoint,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p2s__labels_endpoint\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p2s__labels_endpoint\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.7647058823529411,0.7661222701958575,1496.0,0.22887500000000155,0.182500000000001,0.41387500000000194,0.26499999999998636,0.6688461538461548,0.535000000000025,0.21,0.5740502162729122,prob_Eyes Closed
filtered_signal__win_2p0s__stride_0p02s__labels_endpoint,filtered_signal,endpoint,2.0,0.02,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p02s__labels_endpoint\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p02s__labels_endpoint,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p02s__labels_endpoint\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p02s__labels_endpoint\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.8685994228575263,0.8685658327789028,14901.0,0.4143749999999997,0.34499999999999886,0.6088461538461537,0.37000000000000455,0.4193749999999998,0.3474999999999966,0.35,0.7988096001241425,prob_Eyes Closed
filtered_signal__win_2p0s__stride_0p03s__labels_endpoint,filtered_signal,endpoint,2.0,0.03,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p03s__labels_endpoint\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p03s__labels_endpoint,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p03s__labels_endpoint\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p03s__labels_endpoint\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.8236359975840548,0.8245702218066706,9934.0,0.3893750000000022,0.3299999999999983,0.6975641025641037,0.3900000000000432,0.40662500000000285,0.3450000000000131,0.35,0.7444588292316674,prob_Eyes Closed
filtered_signal__win_2p0s__stride_0p05s__labels_endpoint,filtered_signal,endpoint,2.0,0.05,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p05s__labels_endpoint\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p05s__labels_endpoint,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p05s__labels_endpoint\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p05s__labels_endpoint\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.8508639490018454,0.8508847549909255,5961.0,0.32262500000000116,0.197499999999998,0.6676315789473692,0.29249999999998977,0.37012500000000176,0.26249999999999574,0.225,0.7525460174514683,prob_Eyes Closed
filtered_signal__win_2p0s__stride_0p1s__labels_endpoint,filtered_signal,endpoint,2.0,0.1,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p1s__labels_endpoint\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p1s__labels_endpoint,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p1s__labels_endpoint\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p1s__labels_endpoint\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.8768869506876887,0.8766859054299234,2981.0,0.6263750000000002,0.5600000000000023,0.656315789473685,0.5849999999999937,0.6338750000000005,0.5849999999999937,0.545,0.8524901966717408,prob_Eyes Closed
filtered_signal__win_2p0s__stride_0p2s__labels_endpoint,filtered_signal,endpoint,2.0,0.2,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p2s__labels_endpoint\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p2s__labels_endpoint,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p2s__labels_endpoint\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p2s__labels_endpoint\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.755868544600939,0.7571428571428571,1491.0,0.23387500000000197,0.19750000000000156,0.39887500000000176,0.2674999999999983,0.7560256410256421,0.5450000000000017,0.21,0.5627047862765243,prob_Eyes Closed
